geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0008202	steroid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0008202	276	62	23.077719462218706	2.6865739529203587	3.3495428652940973e-13	2.719828806618807e-10	11806;11807;11808;11812;11814;11816;11928;12012;12359;12606;13076;13077;13106;13850;13982;14385;14473;15360;15376;15483;15485;15486;16000;16816;16835;16889;16971;17777;18145;18979;18984;19014;20280;20850;20851;26424;26458;26459;26889;54670;56448;65970;66113;66508;67800;67815;72017;72999;73166;74032;74450;78925;83702;103161;105387;109754;217166;223920;226144;234199;235293;235623	Pon1;Apoe;Sec14l2;Insig2;Stat5a;Por;Apoa2;Hsd11b1;Cyb5r3;Med1;Hsd17b1;Esr1;Igf1;Nr1d1;Stat5b;Akr1c6;Srd5a1;Ephx2;Lima1;Soat2;Npc1;Lipa;Tm7sf2;Erlin1;Cyp2e1;Cln8;Nr5a2;Cyb5r1;Cat;Slc27a2;Hmgcs2;Mttp;Scp2;Slc27a5;Dgat2;Lamtor1;Fgl1;Hsd17b2;Sc5d;Apoa5;Apoa4;Apoc3;Apoa1;Slc37a4;Ldlr;Cyp1a2;Cyp1a1;Scap;Atp1a1;Akr1c14;Sdr42e1;Cebpa;Lcat;Gc;Foxa2;Pank2;Atp8b1;Baat;Lrp1;Apoc1;Apof;Cyp2d22
GO:0044282	small molecule catabolic process	http://amigo.geneontology.org/amigo/term/GO:0044282	328	66	27.42569559278165	2.4065023173877482	1.1890044504525576e-11	4.827358068837384e-9	11430;11522;11652;11669;11720;11816;12015;12036;12041;12411;12894;13076;14080;14317;14874;15445;15586;15587;16367;16548;16828;16922;17308;18950;18979;19299;20425;21991;22262;26384;26458;26876;52430;52815;56189;56720;56794;66194;66881;66887;66968;67460;70266;71755;71761;74114;75894;76282;76974;93747;102632;104174;107766;108682;109685;212647;216456;224530;230163;231691;232078;235674;257635;270076;319625;434437	Haao;Ftcd;Pon1;Apoe;Crot;Gcdh;Akt2;Hyal2;Hyal1;Acaa1b;Plin5;Dhdh;Amdhd1;Mgat1;Shmt1;Acox1;Gstz1;Hacl1;Gpt;Pycrl;Tpi1;Cbs;Gldc;Cpt1a;Bad;Echs1;Urah;Phyh;Adal;Slc27a2;Tdo2;Abcd3;Uox;Decr1;Aldob;Echdc2;Aldh4a1;Khk;Hpd;Aldh2;Sdsl;Sds;Pcyox1;Bckdk;Bcat2;Gpt2;Ldhd;Cyp1a1;Amt;Galm;Hyal3;Prodh2;Adh4;Mat1a;Kyat1;Gls2;Lonp2;Gnpda1;Fabp1;Thnsl2;Irs1;Acat3;Ldha;Adh1;Acad11;Pnp
GO:0006091	generation of precursor metabolites and energy	http://amigo.geneontology.org/amigo/term/GO:0006091	389	69	32.52620605363434	2.1213663802726304	1.3771028761766502e-9	3.7273584515181335e-7	11429;11430;11522;11652;11674;11814;11848;11946;12122;12176;12359;12499;12869;13077;13808;14194;14385;14387;14527;14533;14782;16000;16195;16367;16548;16828;17319;17995;18682;18984;19013;19045;19047;20411;20917;21991;22272;26384;26459;26876;50776;52637;53412;56451;57320;64384;66359;66416;66592;67680;68263;68267;68550;69181;71724;72900;73046;74114;74178;74450;75406;96979;103172;216974;217166;225887;230163;235339;100126824	Dlat;Crot;Akt2;Bid;Ppp1cc;Por;Rhoa;Sdhb;Slc25a22;Igf1;Ndufs7;Polg2;Acox1;Nr1d1;Glrx5;Entpd5;Pdhb;Il6st;Ppara;Aco2;Tpi1;Ndufv2;Sorbs1;Gcgr;Atp5a1;Sirt3;Cox8b;Phkg1;Gaa;Cox20;Fh1;Ptges2;Cat;Aldob;Stoml2;Dyrk2;Park7;Khk;Slc27a5;Aldoa;Gsr;Apoc3;Slc37a4;Cyp1a2;Mif;Pank2;Cisd1;Adh4;Ndufv1;Ppp1ca;Ndufa7;Stk40;Proca1;Uqcrq;Tefm;Chchd10;Gnpda1;Suclg1;Irs1;Ndufs8;Eno3;Suclg2;Ldha;Aox3;Ppp1r3c;Adh1;Bnip3;Bloc1s1;Sco2
GO:0006631	fatty acid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006631	372	65	31.104752318642607	2.0897128301851904	7.727604112162112e-9	1.5687036347689087e-6	11430;11652;11807;11808;11812;12012;12189;12894;13101;13105;13106;13107;13850;14080;15378;16367;16889;16922;17319;18984;19013;19299;21391;22259;23945;26458;26459;52430;54326;56448;56615;56794;57874;66113;66887;66968;67460;67800;68801;71147;72674;72999;74114;74156;74450;75387;76279;83702;93747;96979;102632;105387;107141;111175;212980;224530;225791;226144;232078;235623;235674;270076;328035;380997;545123	Nr1h3;Crot;Insig2;Gcdh;Akt2;Por;Apoa2;Mgst1;Acaa1b;Plin5;Brca1;Hnf4a;Acox1;Akr1c6;Elovl2;Acot12;Oxsm;Hacl1;Ephx2;Ppara;Cyp2d26;Lipa;Cpt1a;Erlin1;Echs1;Cyp2e1;Pecr;Slc45a3;Adipor1;Phyh;Ptges2;Slc27a2;Abcd3;Decr1;Echdc2;Sirt4;Tbxas1;Slc27a5;Dgat2;Apoa5;Apoa4;Elovl5;Scap;Mgll;Mif;Hacd3;Akr1c14;Pank2;Baat;Apoc1;Fads6;Lonp2;Zadh2;Cyp2f2;Fabp1;Thnsl2;Cyp2c50;Irs1;Cyp2d22;Acat3;Cyp2d11;Cyp2d9;Acad11;Cyp2d10;Cyp2d12
GO:0030258	lipid modification	http://amigo.geneontology.org/amigo/term/GO:0030258	224	45	18.72974333165576	2.4025956577815992	2.414073385637039e-8	3.920455178274551e-6	11430;11652;11806;11807;11808;11816;12702;12894;13076;13850;14080;14421;16367;16816;16922;18709;18717;18984;19013;19299;26458;52430;56632;56794;66113;66508;66887;66968;67460;67800;72674;74114;75387;76500;93747;102632;170749;219024;223920;224530;225049;228368;232086;235674;270076	Apoe;Crot;Gcdh;Akt2;Por;Apoa2;B4galnt1;Acaa1b;Plin5;Mtmr4;Acox1;Hacl1;Ephx2;Ppara;Soat2;Cpt1a;Echs1;Adipor1;Phyh;Slc27a2;Abcd3;Decr1;Echdc2;Sirt4;Dgat2;Lamtor1;Pik3r2;Apoa5;Apoa4;Apoa1;Cyp1a1;Ip6k2;Pip5k1c;Lcat;Pip4p1;Ttc7;Lonp2;Slc35c1;Socs3;Fabp1;Tmem150a;Irs1;Sphk2;Acat3;Acad11
GO:0042180	cellular ketone metabolic process	http://amigo.geneontology.org/amigo/term/GO:0042180	182	38	15.217916456970308	2.497056683643098	1.0312753784269546e-7	1.3956593454711454e-5	11652;11674;11808;11812;12189;12894;14080;15378;15485;16367;18107;19013;20280;20851;21991;22259;26876;56720;57320;66113;66887;66968;67800;68801;70266;72999;74450;75387;78925;83702;105387;110198;212980;217166;226144;229905;235623;545817	Nr1h3;Insig2;Akt2;Plin5;Brca1;Hnf4a;Hsd17b1;Nr1d1;Stat5b;Nmt1;Akr1c6;Srd5a1;Ppara;Tpi1;Cpt1a;Erlin1;Slc45a3;Tdo2;Scp2;Akr7a5;Park7;Sirt4;Cyp2w1;Aldoa;Dgat2;Apoa5;Apoa4;Elovl5;Scap;Akr1c14;Pank2;Adh4;Kyat1;Kyat3;Apoc1;Lonp2;Fabp1;Irs1
GO:0019216	regulation of lipid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0019216	333	57	27.843770220720398	2.0471365604641614	1.348892872954366e-7	1.5647157326270644e-5	11652;11806;11807;11808;11812;11814;11816;11928;12189;12702;12894;13850;13982;14080;15376;15378;15902;16000;16367;16835;17691;18709;18984;19013;20280;20411;20850;20851;22259;53357;54673;66113;66508;66592;66853;66887;66968;67181;67800;67815;68801;69638;71660;72674;72999;74450;75387;170749;192652;212980;217166;226144;232430;235623;243168;624219;641340	Nr1h3;Apoe;Sec14l2;Insig2;Stat5a;Akt2;Por;Apoa2;Rarres2;Plin5;Brca1;Hnf4a;Mtmr4;Ctdnep1;Esr1;Igf1;Id2;Nr1d1;Stat5b;Ephx2;Ppara;Sik1;Cpt1a;Sorbs1;Erlin1;Pnpla2;Slc45a3;Adipor1;Enho;Stoml2;Scp2;Sirt4;Dgat2;Lamtor1;Pik3r2;Apoa5;Apoa4;Apoc3;Apoa1;Ldlr;Elovl5;Scap;Crebl2;Atp1a1;Hsd17b13;Foxa2;Sh3glb1;Pank2;Apoc1;Pla2g6;Wdr81;Angptl8;Lonp2;Socs3;Fabp1;Irs1;Nrbf2
GO:1901615	organic hydroxy compound metabolic process	http://amigo.geneontology.org/amigo/term/GO:1901615	457	71	38.212020993601264	1.8580540404258963	2.152970663971132e-7	2.185265223930699e-5	11522;11669;11806;11807;11808;11812;11814;11816;12012;12359;12606;13202;13478;13849;13850;14385;14473;15360;15485;16816;16828;16835;16889;16971;17777;18145;18830;18979;18984;19014;20148;20280;21991;26424;26458;26459;26876;26889;50500;52815;54150;54670;56448;56632;57320;65970;66113;67078;67800;67815;69718;71207;72017;72999;73166;74450;76500;83702;103161;103711;105387;109754;110198;111175;217166;223920;226144;234199;235293;235623;791260	Ddt;Pon1;Apoe;Sec14l2;Insig2;Por;Apoa2;Pltp;Cyb5r3;Med1;Pnpo;Hsd17b1;Nudt4;Nr1d1;Akr1c6;Ephx2;Lima1;Soat2;Tpi1;Npc1;Lipa;Tm7sf2;Erlin1;Pecr;Cln8;Nr5a2;Cyb5r1;Cat;Slc27a2;Hmgcs2;Mttp;Scp2;Akr7a5;Park7;Aldh2;Slc27a5;Dgat2;Fgl1;Ldhd;Sc5d;Apoa5;Apoa4;Apoc3;Apoa1;Slc37a4;Dpagt1;Ldlr;Scap;Ip6k2;Akr1c14;Cebpa;Lcat;Gc;Pank2;Adh4;Ephx1;Atp8b1;Baat;Rdh7;Lrp1;Apoc1;Pgp;Apof;Sphk2;Ipmk;Cyp2d22;Ldha;Dhrs3;Ttpa;Adh1;Tomt
GO:0006520	cellular amino acid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006520	260	47	21.739880652814723	2.1619253918909984	3.356902207318768e-7	3.028671769269822e-5	11720;12012;12036;12041;12411;14287;14317;14431;14630;14645;14874;15378;15445;18453;18618;20425;20768;26433;56189;56448;56720;57320;64918;66194;66881;70266;71761;75387;75986;76282;100678;104174;104816;107766;108682;109652;112406;212647;216456;229905;231691;232078;242669;246221;257635;270076;434437	Pemt;Haao;Ftcd;Gcdh;Plod3;Fpgs;Amdhd1;Hnf4a;Gamt;Shmt1;Gstz1;Gpt;Pycrl;Acy1;Cbs;Gldc;P4hb;Glul;Tdo2;Gclm;Aldh4a1;Azin2;Park7;Hpd;Psph;Sirt4;Sdsl;Sds;Pcyox1;Bckdk;Bcat2;Gpt2;Amt;Prodh2;Aspg;Mat1a;Kyat1;Baat;Kyat3;Agmat;Bhmt2;Gls2;Sephs2;Thnsl2;Egln2;Cyp2d22;Mpst
GO:0051186	cofactor metabolic process	http://amigo.geneontology.org/amigo/term/GO:0051186	488	73	40.804083686821485	1.7890366209492126	6.500464622138935e-7	5.150969817282267e-5	11674;11720;11808;12012;12359;12499;13076;13077;13808;14287;14317;14431;14630;14782;14859;14869;14870;14871;14874;15288;15360;15378;15483;16000;16548;16828;16922;17319;18618;19013;20280;20425;20917;21672;21991;26363;26876;54683;55951;56451;56615;56720;57320;64918;67800;68066;68087;68263;68396;68801;70456;71147;71743;74104;74114;74156;74450;83702;100198;103140;103711;105387;105663;107766;108682;109129;110198;223646;229905;230163;235339;270076;625249	Dlat;Pemt;Haao;Ftcd;Gstt1;Gstt3;Coasy;Crot;Gcdh;Prdx2;Mgst1;Fpgs;Hsd11b1;Hnf4a;Pnpo;Slc25a39;Igf1;Gamt;Shmt1;Dcakd;Gstz1;Akr1c6;Entpd5;Acot12;Pdhb;Oxsm;Btd;Ppara;Naprt;Tpi1;Mpc1;Prdx5;Gsta3;Abcb6;Mpc2;Phyh;Mmadhc;Cat;Hmgcs2;Tdo2;Gclm;Aldob;Scp2;Akr7a5;Park7;H6pd;Khk;Nat8;Aldoa;Dgat2;Gsr;Gpt2;Apoa4;Hmbs;Cyp1a2;Cyp1a1;Elovl5;Mif;Akr1c14;Pank2;Adh4;Mat1a;Gstp2;Baat;Kyat3;Bhmt2;Thtpa;Suclg1;Eno3;Gstp1;Suclg2;Ldha;Gpx4
